t,median,p10,p90
0.0,0.944000,0.944000,0.944000
1.0,0.944000,0.944000,0.944000
2.0,0.944000,0.944000,0.944000
3.0,0.944000,0.944000,0.944000
4.0,0.944000,0.944000,0.944000
5.0,0.944000,0.944000,0.944000
6.0,0.944000,0.944000,0.944000
7.0,0.944000,0.944000,0.944000
8.0,0.944000,0.944000,0.944000
9.0,0.944000,0.944000,0.944000
10.0,0.944000,0.936589,0.944000
11.0,0.944000,0.897632,0.944000
12.0,0.944000,0.858675,0.944000
13.0,0.944000,0.819718,0.944000
14.0,0.944000,0.780761,0.944000
15.0,0.944000,0.740291,0.944000
16.0,0.944000,0.669665,0.944000
17.0,0.944000,0.604165,0.944000
18.0,0.944000,0.525803,0.944000
19.0,0.944000,0.477370,0.944000
20.0,0.944000,0.433590,0.944000
21.0,0.944000,0.374402,0.944000
22.0,0.944000,0.429581,0.944000
23.0,0.944000,0.404722,0.944000
24.0,0.936820,0.382237,0.944000
25.0,0.921082,0.363201,0.944000
26.0,0.912000,0.636518,0.944000
27.0,0.912000,0.798583,0.944000
28.0,0.912000,0.775382,0.944000
29.0,0.912000,0.770452,0.944000
30.0,0.912000,0.739708,0.944000
31.0,0.912000,0.708964,0.944000
32.0,0.912000,0.689313,0.944000
33.0,0.912000,0.859553,0.944000
34.0,0.912000,0.858091,0.944000
35.0,0.912000,0.880000,0.944000
36.0,0.912000,0.880000,0.944000
37.0,0.912000,0.880000,0.944000
38.0,0.912000,0.880000,0.944000
39.0,0.912000,0.880000,0.944000
40.0,0.912000,0.880000,0.944000
41.0,0.912000,0.880000,0.944000
42.0,0.912000,0.880000,0.944000
43.0,0.912000,0.880000,0.944000
44.0,0.912000,0.880000,0.944000
45.0,0.912000,0.880000,0.944000
46.0,0.912000,0.880000,0.944000
47.0,0.912000,0.880000,0.944000
48.0,0.912000,0.880000,0.944000
49.0,0.912000,0.880000,0.944000
50.0,0.912000,0.880000,0.944000
51.0,0.912000,0.880000,0.944000
52.0,0.912000,0.880000,0.944000
53.0,0.912000,0.880000,0.944000
54.0,0.912000,0.880000,0.944000
55.0,0.912000,0.880000,0.944000
56.0,0.912000,0.880000,0.944000
57.0,0.912000,0.880000,0.944000
58.0,0.912000,0.880000,0.944000
59.0,0.912000,0.880000,0.944000
60.0,0.912000,0.880000,0.944000
