alpha,median,p10,p90
0.0,0.812536,0.718169,0.882182
0.05,0.816782,0.720177,0.877474
0.1,0.820302,0.726148,0.876716
0.15,0.820225,0.728920,0.876596
0.2,0.819514,0.729746,0.876637
0.25,0.816531,0.735472,0.876678
0.3,0.812389,0.748521,0.874042
0.35,0.809925,0.752584,0.873785
0.4,0.807451,0.757510,0.873527
0.45,0.808569,0.753978,0.874854
0.5,0.809334,0.750445,0.879624
0.55,0.818092,0.746913,0.884065
0.6,0.825844,0.746462,0.888976
0.65,0.835603,0.739230,0.892709
0.7,0.840431,0.732647,0.899645
0.75,0.845619,0.732538,0.905181
0.8,0.852210,0.732627,0.914283
0.85,0.857171,0.732414,0.923385
0.9,0.861039,0.731258,0.932485
0.95,0.863057,0.723424,0.941587
1.0,0.865074,0.716284,0.950689
