timestamp_ms,timestamp_iso,source_cdt,active_provider,on_fallback,ch4_avg,co_avg,o2_avg,accuracy,latency_ms,reliability,qos_degraded,safe_for_entry,gate_status
1774811353139,2026-03-29T21:09:13+02:00,cdt2,idt2a,0,0.0945696,4.76108,20.9224,0.95,1,0.98,0,1,open
1774811357146,2026-03-29T21:09:17+02:00,cdt2,idt2a,0,0.1007,4.76614,20.8996,0.95,10,0.98,0,1,open
1774811361138,2026-03-29T21:09:21+02:00,cdt2,idt2b,1,0.0918131,5.44547,20.9666,0.85,15,0.95,1,1,open
1774811365139,2026-03-29T21:09:25+02:00,cdt2,idt2b,1,0.0698587,5.81458,20.9812,0.85,15,0.95,1,1,open
1774811368742,2026-03-29T21:09:28+02:00,cdt2,idt2b,1,0.0955839,5.79549,20.9671,0.85,15,0.95,1,1,open
1774811372746,2026-03-29T21:09:32+02:00,cdt2,idt2b,1,0.0991921,5.49087,20.9688,0.85,15,0.95,1,1,open
1774811376738,2026-03-29T21:09:36+02:00,cdt2,idt2b,1,0.109812,5.28955,20.9723,0.85,15,0.95,1,1,open
1774811380736,2026-03-29T21:09:40+02:00,cdt2,idt2b,1,0.103182,4.71659,20.9426,0.85,15,0.95,1,1,open
1774811384737,2026-03-29T21:09:44+02:00,cdt2,idt2b,1,0.111929,4.81862,20.9208,0.85,15,0.95,1,1,open
1774811388738,2026-03-29T21:09:48+02:00,cdt2,idt2b,1,0.0993245,4.6627,20.9277,0.85,15,0.95,1,1,open
1774811392737,2026-03-29T21:09:52+02:00,cdt2,idt2b,1,0.100377,5.30352,20.974,0.85,15,0.95,1,1,open
1774811396738,2026-03-29T21:09:56+02:00,cdt2,idt2b,1,0.120385,5.71943,20.9835,0.85,15,0.95,1,1,open
1774811400737,2026-03-29T21:10:00+02:00,cdt2,idt2b,1,0.127776,5.21474,20.9781,0.85,15,0.95,1,1,open
1774811404733,2026-03-29T21:10:04+02:00,cdt2,idt2b,1,0.122784,4.9069,20.9919,0.85,15,0.95,1,1,open
1774811408736,2026-03-29T21:10:08+02:00,cdt2,idt2b,1,0.128622,4.76318,21.0054,0.85,15,0.95,1,1,open
1774811412735,2026-03-29T21:10:12+02:00,cdt2,idt2b,1,0.126567,4.42051,21.0245,0.85,15,0.95,1,1,open
1774811416742,2026-03-29T21:10:16+02:00,cdt2,idt2b,1,0.130947,4.60864,21.061,0.85,15,0.95,1,1,open
1774811420736,2026-03-29T21:10:20+02:00,cdt2,idt2b,1,0.114822,4.83011,21.0938,0.85,15,0.95,1,1,open
1774811424736,2026-03-29T21:10:24+02:00,cdt2,idt2b,1,0.0947701,4.80589,21.0971,0.85,15,0.95,1,1,open
1774811428736,2026-03-29T21:10:28+02:00,cdt2,idt2b,1,0.0923382,4.56922,21.0828,0.85,15,0.95,1,1,open
1774811432735,2026-03-29T21:10:32+02:00,cdt2,idt2b,1,0.0879288,4.65263,21.1185,0.85,15,0.95,1,1,open
1774811436736,2026-03-29T21:10:36+02:00,cdt2,idt2b,1,0.0907309,4.26763,21.1407,0.85,15,0.95,1,1,open
1774811440734,2026-03-29T21:10:40+02:00,cdt2,idt2b,1,0.111424,4.44713,21.1198,0.85,15,0.95,1,1,open
1774811444737,2026-03-29T21:10:44+02:00,cdt2,idt2b,1,0.117667,4.44819,21.0918,0.85,15,0.95,1,1,open
1774811448737,2026-03-29T21:10:48+02:00,cdt2,idt2b,1,0.126215,4.64212,21.112,0.85,1,0.95,1,1,open
1774811452742,2026-03-29T21:10:52+02:00,cdt2,idt2b,1,0.123093,4.68279,21.1471,0.85,1,0.95,1,1,open
1774811456737,2026-03-29T21:10:56+02:00,cdt2,idt2b,1,0.137924,4.27921,21.1316,0.85,15,0.95,1,1,open
1774811460743,2026-03-29T21:11:00+02:00,cdt2,idt2b,1,0.137591,5.02293,21.1119,0.85,15,0.95,1,1,open
1774811464340,2026-03-29T21:11:04+02:00,cdt2,idt2b,1,0.140273,4.86338,21.1328,0.85,15,0.95,1,1,open
1774811468338,2026-03-29T21:11:08+02:00,cdt2,idt2b,1,0.161335,4.8438,21.1413,0.85,1,0.95,1,1,open
1774811472335,2026-03-29T21:11:12+02:00,cdt2,idt2b,1,0.145432,4.39076,21.0711,0.85,1,0.95,1,1,open
1774811476340,2026-03-29T21:11:16+02:00,cdt2,idt2b,1,0.144824,4.49473,21.0972,0.85,15,0.95,1,1,open
1774811480352,2026-03-29T21:11:20+02:00,cdt2,idt2b,1,0.14739,4.90139,21.0858,0.85,1,0.95,1,1,open
1774811484337,2026-03-29T21:11:24+02:00,cdt2,idt2b,1,0.148341,5.09037,21.0783,0.85,15,0.95,1,1,open
1774811488335,2026-03-29T21:11:28+02:00,cdt2,idt2b,1,0.147329,5.1342,21.0641,0.85,15,0.95,1,1,open
1774811492336,2026-03-29T21:11:32+02:00,cdt2,idt2b,1,0.136677,5.09868,21.0854,0.85,15,0.95,1,1,open
1774811496332,2026-03-29T21:11:36+02:00,cdt2,idt2b,1,0.146618,5.10173,21.062,0.85,1,0.95,1,1,open
1774811500332,2026-03-29T21:11:40+02:00,cdt2,idt2b,1,0.1582,5.05957,21.0537,0.85,15,0.95,1,1,open
1774811504332,2026-03-29T21:11:44+02:00,cdt2,idt2b,1,0.166108,4.9916,21.0158,0.85,15,0.95,1,1,open
1774811508338,2026-03-29T21:11:48+02:00,cdt2,idt2b,1,0.16116,4.51097,20.9756,0.85,15,0.95,1,1,open
1774811512342,2026-03-29T21:11:52+02:00,cdt2,idt2b,1,0.161296,4.13914,20.9574,0.85,15,0.95,1,1,open
1774811516337,2026-03-29T21:11:56+02:00,cdt2,idt2b,1,0.150632,4.24941,20.9681,0.85,15,0.95,1,1,open
1774811520336,2026-03-29T21:12:00+02:00,cdt2,idt2b,1,0.145073,4.05513,20.9913,0.85,1,0.95,1,1,open
1774811524338,2026-03-29T21:12:04+02:00,cdt2,idt2b,1,0.141647,3.63714,20.9934,0.85,15,0.95,1,1,open
1774811527922,2026-03-29T21:12:07+02:00,cdt2,idt2b,1,0.156691,3.38294,21.0181,0.85,15,0.95,1,0,open
1774811531923,2026-03-29T21:12:11+02:00,cdt2,idt2b,1,0.162996,3.28771,20.9386,0.85,15,0.95,1,0,closed
1774811535921,2026-03-29T21:12:15+02:00,cdt2,idt2b,1,0.157525,3.17043,20.9206,0.85,15,0.95,1,0,closed
1774811539925,2026-03-29T21:12:19+02:00,cdt2,idt2b,1,0.160504,3.05968,20.9627,0.85,15,0.95,1,0,closed
1774811543922,2026-03-29T21:12:23+02:00,cdt2,idt2b,1,0.143472,3.62389,20.9307,0.85,15,0.95,1,0,closed
1774811547933,2026-03-29T21:12:27+02:00,cdt2,idt2b,1,0.134329,4.1243,20.9565,0.85,15,0.95,1,0,closed
1774811551922,2026-03-29T21:12:31+02:00,cdt2,idt2b,1,0.136322,4.12499,20.9868,0.85,15,0.95,1,0,closed
1774811555931,2026-03-29T21:12:35+02:00,cdt2,idt2b,1,0.16038,4.09498,21.0202,0.85,1,0.95,1,0,closed
1774811559921,2026-03-29T21:12:39+02:00,cdt2,idt2b,1,0.177956,4.6358,21.0017,0.85,15,0.95,1,0,closed
1774811563921,2026-03-29T21:12:43+02:00,cdt2,idt2b,1,0.183492,4.84057,20.9994,0.85,1,0.95,1,0,closed
1774811567922,2026-03-29T21:12:47+02:00,cdt2,idt2b,1,0.186057,4.81678,21.0096,0.85,15,0.95,1,0,closed
1774811571924,2026-03-29T21:12:51+02:00,cdt2,idt2b,1,0.198037,4.80799,21.0113,0.85,15,0.95,1,0,closed
1774811575922,2026-03-29T21:12:55+02:00,cdt2,idt2b,1,0.209629,4.58367,20.9727,0.85,15,0.95,1,0,closed
1774811579923,2026-03-29T21:12:59+02:00,cdt2,idt2b,1,0.194416,4.89891,20.8894,0.85,15,0.95,1,0,closed
1774811583923,2026-03-29T21:13:03+02:00,cdt2,idt2b,1,0.210398,4.71317,20.9134,0.85,15,0.95,1,0,closed
1774811587922,2026-03-29T21:13:07+02:00,cdt2,idt2b,1,0.222418,4.42442,20.9131,0.85,1,0.95,1,0,closed
