network_delay_ms,local_avg_ms,local_p10_ms,local_p90_ms,central_avg_ms,central_p10_ms,central_p90_ms
0,0.001,0.000,0.001,1.051,0.947,1.173
5,0.001,0.001,0.001,11.623,11.276,12.173
10,0.001,0.001,0.001,22.914,21.506,25.095
15,0.001,0.001,0.001,32.449,32.127,32.734
20,0.001,0.001,0.001,42.038,41.605,42.395
25,0.001,0.001,0.001,52.342,51.959,52.733
30,0.001,0.001,0.001,62.105,61.864,62.383
35,0.001,0.001,0.001,72.594,72.407,72.805
40,0.001,0.001,0.001,82.201,81.711,82.813
45,0.001,0.001,0.001,93.512,92.534,94.419
50,0.001,0.001,0.001,102.611,101.954,103.466
