event_id,cdt_id,capability,prev_provider,next_provider,failure_time_ms,detection_time_ms,switch_time_ms,fail_to_switch_ms,decision_delay_ms,orchestration_mode,network_delay_ms,accuracy_before,latency_before_ms,reliability_before,accuracy_after,latency_after_ms,reliability_after
fo-1774811358053874030,cdt2,gas-measurement,idt2a,idt2b,1774811358052,1774811358053,1774811358053,1.00,0.00,local,0.0,0.95,10.0000,0.75,0.85,15.0000,0.95
fo-1774811358363545981,cdt2,gas-measurement,idt2a,idt2b,1774811358361,1774811358363,1774811358363,1.00,0.00,local,0.0,0.95,10.0000,0.6,0.85,15.0000,0.95
fo-1774811358672476208,cdt2,gas-measurement,idt2a,idt2b,1774811358670,1774811358672,1774811358672,1.00,0.00,local,0.0,0.95,10.0000,0.5,0.85,15.0000,0.95
fo-1774811358982186095,cdt2,gas-measurement,idt2a,idt2b,1774811358980,1774811358982,1774811358982,1.00,0.00,local,0.0,0.95,10.0000,0.428571,0.85,15.0000,0.95
fo-1774811359293297725,cdt2,gas-measurement,idt2a,idt2b,1774811359291,1774811359293,1774811359293,1.00,0.00,local,0.0,0.95,10.0000,0.375,0.85,15.0000,0.95
fo-1774811359604971899,cdt2,gas-measurement,idt2a,idt2b,1774811359602,1774811359604,1774811359604,2.00,0.00,local,0.0,0.95,10.0000,0.333333,0.85,15.0000,0.95
fo-1774811359915569837,cdt2,gas-measurement,idt2a,idt2b,1774811359913,1774811359915,1774811359915,1.00,0.00,local,0.0,0.95,10.0000,0.3,0.85,15.0000,0.95
fo-1774811360225793183,cdt2,gas-measurement,idt2a,idt2b,1774811360224,1774811360225,1774811360225,1.00,0.00,local,0.0,0.95,10.0000,0.2,0.85,15.0000,0.95
fo-1774811360536744555,cdt2,gas-measurement,idt2a,idt2b,1774811360534,1774811360536,1774811360536,1.00,0.00,local,0.0,0.95,10.0000,0.1,0.85,15.0000,0.95
fo-1774811360848202058,cdt2,gas-measurement,idt2a,idt2b,1774811360846,1774811360848,1774811360848,1.00,0.00,local,0.0,0.95,10.0000,0,0.85,15.0000,0.95
fo-1774811361159081394,cdt2,gas-measurement,idt2a,idt2b,1774811361157,1774811361159,1774811361159,1.00,0.00,local,0.0,0.95,10.0000,0,0.85,15.0000,0.95
