run,seed,degraded1,onset1_s,rate1,fail1_s,recover1_s,degraded2,onset2_s,rate2,fail2_s,recover2_s,degraded3,onset3_s,rate3,fail3_s,recover3_s,degraded4,onset4_s,rate4,fail4_s,recover4_s,t,method,active_provider,accuracy,latency_ms,reliability,utility,failover_event
0,876610412,idt2b,11.802,0.11261,25.014,32.325,idt2a,53.511,0.04777,63.377,72.224,,,,,,,,,,,0,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,876610412,idt2b,11.802,0.11261,25.014,32.325,idt2a,53.511,0.04777,63.377,72.224,,,,,,,,,,,1,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,876610412,idt2b,11.802,0.11261,25.014,32.325,idt2a,53.511,0.04777,63.377,72.224,,,,,,,,,,,2,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,876610412,idt2b,11.802,0.11261,25.014,32.325,idt2a,53.511,0.04777,63.377,72.224,,,,,,,,,,,3,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,876610412,idt2b,11.802,0.11261,25.014,32.325,idt2a,53.511,0.04777,63.377,72.224,,,,,,,,,,,4,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,876610412,idt2b,11.802,0.11261,25.014,32.325,idt2a,53.511,0.04777,63.377,72.224,,,,,,,,,,,5,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,876610412,idt2b,11.802,0.11261,25.014,32.325,idt2a,53.511,0.04777,63.377,72.224,,,,,,,,,,,6,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,876610412,idt2b,11.802,0.11261,25.014,32.325,idt2a,53.511,0.04777,63.377,72.224,,,,,,,,,,,7,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,876610412,idt2b,11.802,0.11261,25.014,32.325,idt2a,53.511,0.04777,63.377,72.224,,,,,,,,,,,8,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,876610412,idt2b,11.802,0.11261,25.014,32.325,idt2a,53.511,0.04777,63.377,72.224,,,,,,,,,,,9,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,876610412,idt2b,11.802,0.11261,25.014,32.325,idt2a,53.511,0.04777,63.377,72.224,,,,,,,,,,,10,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
