run,seed,alpha,prov_a_accuracy,prov_a_latency_ms,prov_a_reliability,prov_b_accuracy,prov_b_latency_ms,prov_b_reliability,utility_a,utility_b,selected,selected_utility,best_utility,regret,w_accuracy,w_latency,w_reliability
0,999193815,0.0,0.88876,77.8535,0.92793,0.662457,11.1405,0.682982,0.574697,0.785789,idt2b,0.785789,0.785789,0.0,0.0,0.5,0.5
0,999193815,0.05,0.88876,77.8535,0.92793,0.662457,11.1405,0.682982,0.590401,0.779622,idt2b,0.779622,0.779622,0.0,0.05,0.475,0.475
0,999193815,0.1,0.88876,77.8535,0.92793,0.662457,11.1405,0.682982,0.606104,0.773456,idt2b,0.773456,0.773456,0.0,0.1,0.45,0.45
0,999193815,0.15,0.88876,77.8535,0.92793,0.662457,11.1405,0.682982,0.621807,0.767289,idt2b,0.767289,0.767289,0.0,0.15,0.425,0.425
0,999193815,0.2,0.88876,77.8535,0.92793,0.662457,11.1405,0.682982,0.63751,0.761122,idt2b,0.761122,0.761122,0.0,0.2,0.4,0.4
0,999193815,0.25,0.88876,77.8535,0.92793,0.662457,11.1405,0.682982,0.653213,0.754956,idt2b,0.754956,0.754956,0.0,0.25,0.375,0.375
0,999193815,0.3,0.88876,77.8535,0.92793,0.662457,11.1405,0.682982,0.668916,0.748789,idt2b,0.748789,0.748789,0.0,0.3,0.35,0.35
0,999193815,0.35,0.88876,77.8535,0.92793,0.662457,11.1405,0.682982,0.684619,0.742623,idt2b,0.742623,0.742623,0.0,0.35,0.325,0.325
0,999193815,0.4,0.88876,77.8535,0.92793,0.662457,11.1405,0.682982,0.700322,0.736456,idt2b,0.736456,0.736456,0.0,0.4,0.3,0.3
0,999193815,0.45,0.88876,77.8535,0.92793,0.662457,11.1405,0.682982,0.716026,0.730289,idt2b,0.730289,0.730289,0.0,0.45,0.275,0.275
0,999193815,0.5,0.88876,77.8535,0.92793,0.662457,11.1405,0.682982,0.731729,0.724123,idt2a,0.731729,0.731729,0.0,0.5,0.25,0.25
0,999193815,0.55,0.88876,77.8535,0.92793,0.662457,11.1405,0.682982,0.747432,0.717956,idt2a,0.747432,0.747432,0.0,0.55,0.225,0.225
0,999193815,0.6,0.88876,77.8535,0.92793,0.662457,11.1405,0.682982,0.763135,0.71179,idt2a,0.763135,0.763135,0.0,0.6,0.2,0.2
