run,seed,degraded_provider,onset_s,degrade_rate,fail_at_s,t,method,active_provider,accuracy,latency_ms,reliability,utility,failover_event
0,1234,idt2b,12.604,0.11232,26.529,0,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,1,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,2,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,3,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,4,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,5,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,6,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,7,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,8,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,9,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,10,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,11,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,12,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,13,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,14,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,15,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,16,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,17,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,18,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,19,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,20,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,21,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,22,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,23,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,24,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,25,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,26,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,27,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,28,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,29,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,30,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,31,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,32,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,33,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,34,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,35,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,36,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,37,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,38,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,39,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,40,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,41,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,42,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,43,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,44,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,45,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,46,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,47,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,48,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,49,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,50,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,51,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,52,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,53,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,54,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,55,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,56,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,57,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,58,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,59,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,60,qos_aware,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,0,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,1,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,2,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,3,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,4,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,5,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,6,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,7,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,8,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,9,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,10,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,11,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,12,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,13,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,14,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,15,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,16,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,17,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,18,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,19,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,20,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,21,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,22,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,23,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,24,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,25,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,26,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,27,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,28,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,29,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,30,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,31,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,32,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,33,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,34,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,35,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,36,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,37,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,38,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,39,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,40,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,41,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,42,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,43,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,44,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,45,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,46,availability_based,idt2a,0.95,10.0,0.98,0.944,0
0,1234,idt2b,12.604,0.11232,26.529,47,availability_based,idt2a,0.95,10.0,0.98,0.944,0
