network_delay_ms,local_avg_ms,local_p10_ms,local_p90_ms,central_avg_ms,central_p10_ms,central_p90_ms
0,0.001,0.001,0.001,1.194,0.975,1.509
5,0.001,0.001,0.001,12.397,12.218,12.593
10,0.001,0.001,0.001,21.953,21.766,22.129
15,0.001,0.001,0.001,33.069,32.750,33.495
20,0.001,0.001,0.001,43.115,42.438,43.611
25,0.001,0.001,0.001,53.777,53.607,54.012
30,0.001,0.001,0.001,64.381,63.223,65.334
35,0.001,0.001,0.001,74.732,73.353,75.565
40,0.001,0.001,0.001,84.981,82.630,86.771
45,0.001,0.001,0.001,94.836,94.039,95.947
50,0.001,0.001,0.001,103.695,102.457,104.659
