run,seed,alpha,prov_a_accuracy,prov_a_latency_ms,prov_a_reliability,prov_b_accuracy,prov_b_latency_ms,prov_b_reliability,utility_a,utility_b,selected,selected_utility,best_utility,regret,w_accuracy,w_latency,w_reliability
0,1234,0.0,0.987903,70.2078,0.984627,0.442806,4.2337,0.548342,0.641274,0.753003,idt2b,0.753003,0.753003,0.0,0.0,0.5,0.5
0,1234,0.05,0.987903,70.2078,0.984627,0.442806,4.2337,0.548342,0.658606,0.737493,idt2b,0.737493,0.737493,0.0,0.05,0.475,0.475
0,1234,0.1,0.987903,70.2078,0.984627,0.442806,4.2337,0.548342,0.675937,0.721983,idt2b,0.721983,0.721983,0.0,0.1,0.45,0.45
0,1234,0.15,0.987903,70.2078,0.984627,0.442806,4.2337,0.548342,0.693269,0.706473,idt2b,0.706473,0.706473,0.0,0.15,0.425,0.425
0,1234,0.2,0.987903,70.2078,0.984627,0.442806,4.2337,0.548342,0.7106,0.690963,idt2a,0.7106,0.7106,0.0,0.2,0.4,0.4
0,1234,0.25,0.987903,70.2078,0.984627,0.442806,4.2337,0.548342,0.727932,0.675453,idt2a,0.727932,0.727932,0.0,0.25,0.375,0.375
0,1234,0.3,0.987903,70.2078,0.984627,0.442806,4.2337,0.548342,0.745263,0.659944,idt2a,0.745263,0.745263,0.0,0.3,0.35,0.35
0,1234,0.35,0.987903,70.2078,0.984627,0.442806,4.2337,0.548342,0.762594,0.644434,idt2a,0.762594,0.762594,0.0,0.35,0.325,0.325
0,1234,0.4,0.987903,70.2078,0.984627,0.442806,4.2337,0.548342,0.779926,0.628924,idt2a,0.779926,0.779926,0.0,0.4,0.3,0.3
0,1234,0.45,0.987903,70.2078,0.984627,0.442806,4.2337,0.548342,0.797257,0.613414,idt2a,0.797257,0.797257,0.0,0.45,0.275,0.275
0,1234,0.5,0.987903,70.2078,0.984627,0.442806,4.2337,0.548342,0.814589,0.597904,idt2a,0.814589,0.814589,0.0,0.5,0.25,0.25
0,1234,0.55,0.987903,70.2078,0.984627,0.442806,4.2337,0.548342,0.83192,0.582395,idt2a,0.83192,0.83192,0.0,0.55,0.225,0.225
0,1234,0.6,0.987903,70.2078,0.984627,0.442806,4.2337,0.548342,0.849252,0.566885,idt2a,0.849252,0.849252,0.0,0.6,0.2,0.2
0,1234,0.65,0.987903,70.2078,0.984627,0.442806,4.2337,0.548342,0.866583,0.551375,idt2a,0.866583,0.866583,0.0,0.65,0.175,0.175
0,1234,0.7,0.987903,70.2078,0.984627,0.442806,4.2337,0.548342,0.883914,0.535865,idt2a,0.883914,0.883914,0.0,0.7,0.15,0.15
0,1234,0.75,0.987903,70.2078,0.984627,0.442806,4.2337,0.548342,0.901246,0.520355,idt2a,0.901246,0.901246,0.0,0.75,0.125,0.125
0,1234,0.8,0.987903,70.2078,0.984627,0.442806,4.2337,0.548342,0.918577,0.504845,idt2a,0.918577,0.918577,0.0,0.8,0.1,0.1
0,1234,0.85,0.987903,70.2078,0.984627,0.442806,4.2337,0.548342,0.935909,0.489336,idt2a,0.935909,0.935909,0.0,0.85,0.075,0.075
0,1234,0.9,0.987903,70.2078,0.984627,0.442806,4.2337,0.548342,0.95324,0.473826,idt2a,0.95324,0.95324,0.0,0.9,0.05,0.05
0,1234,0.95,0.987903,70.2078,0.984627,0.442806,4.2337,0.548342,0.970572,0.458316,idt2a,0.970572,0.970572,0.0,0.95,0.025,0.025
0,1234,1.0,0.987903,70.2078,0.984627,0.442806,4.2337,0.548342,0.987903,0.442806,idt2a,0.987903,0.987903,0.0,1.0,0.0,0.0
1,1235,0.0,0.915973,62.3378,0.94996,0.581145,7.7891,0.590371,0.663291,0.75624,idt2b,0.75624,0.75624,0.0,0.0,0.5,0.5
1,1235,0.05,0.915973,62.3378,0.94996,0.581145,7.7891,0.590371,0.675925,0.747486,idt2b,0.747486,0.747486,0.0,0.05,0.475,0.475
1,1235,0.1,0.915973,62.3378,0.94996,0.581145,7.7891,0.590371,0.688559,0.738731,idt2b,0.738731,0.738731,0.0,0.1,0.45,0.45
1,1235,0.15,0.915973,62.3378,0.94996,0.581145,7.7891,0.590371,0.701193,0.729976,idt2b,0.729976,0.729976,0.0,0.15,0.425,0.425
1,1235,0.2,0.915973,62.3378,0.94996,0.581145,7.7891,0.590371,0.713827,0.721221,idt2b,0.721221,0.721221,0.0,0.2,0.4,0.4
1,1235,0.25,0.915973,62.3378,0.94996,0.581145,7.7891,0.590371,0.726462,0.712467,idt2a,0.726462,0.726462,0.0,0.25,0.375,0.375
1,1235,0.3,0.915973,62.3378,0.94996,0.581145,7.7891,0.590371,0.739096,0.703712,idt2a,0.739096,0.739096,0.0,0.3,0.35,0.35
1,1235,0.35,0.915973,62.3378,0.94996,0.581145,7.7891,0.590371,0.75173,0.694957,idt2a,0.75173,0.75173,0.0,0.35,0.325,0.325
1,1235,0.4,0.915973,62.3378,0.94996,0.581145,7.7891,0.590371,0.764364,0.686202,idt2a,0.764364,0.764364,0.0,0.4,0.3,0.3
1,1235,0.45,0.915973,62.3378,0.94996,0.581145,7.7891,0.590371,0.776998,0.677447,idt2a,0.776998,0.776998,0.0,0.45,0.275,0.275
1,1235,0.5,0.915973,62.3378,0.94996,0.581145,7.7891,0.590371,0.789632,0.668693,idt2a,0.789632,0.789632,0.0,0.5,0.25,0.25
1,1235,0.55,0.915973,62.3378,0.94996,0.581145,7.7891,0.590371,0.802266,0.659938,idt2a,0.802266,0.802266,0.0,0.55,0.225,0.225
1,1235,0.6,0.915973,62.3378,0.94996,0.581145,7.7891,0.590371,0.8149,0.651183,idt2a,0.8149,0.8149,0.0,0.6,0.2,0.2
1,1235,0.65,0.915973,62.3378,0.94996,0.581145,7.7891,0.590371,0.827534,0.642428,idt2a,0.827534,0.827534,0.0,0.65,0.175,0.175
1,1235,0.7,0.915973,62.3378,0.94996,0.581145,7.7891,0.590371,0.840169,0.633674,idt2a,0.840169,0.840169,0.0,0.7,0.15,0.15
1,1235,0.75,0.915973,62.3378,0.94996,0.581145,7.7891,0.590371,0.852803,0.624919,idt2a,0.852803,0.852803,0.0,0.75,0.125,0.125
1,1235,0.8,0.915973,62.3378,0.94996,0.581145,7.7891,0.590371,0.865437,0.616164,idt2a,0.865437,0.865437,0.0,0.8,0.1,0.1
1,1235,0.85,0.915973,62.3378,0.94996,0.581145,7.7891,0.590371,0.878071,0.607409,idt2a,0.878071,0.878071,0.0,0.85,0.075,0.075
1,1235,0.9,0.915973,62.3378,0.94996,0.581145,7.7891,0.590371,0.890705,0.598655,idt2a,0.890705,0.890705,0.0,0.9,0.05,0.05
1,1235,0.95,0.915973,62.3378,0.94996,0.581145,7.7891,0.590371,0.903339,0.5899,idt2a,0.903339,0.903339,0.0,0.95,0.025,0.025
1,1235,1.0,0.915973,62.3378,0.94996,0.581145,7.7891,0.590371,0.915973,0.581145,idt2a,0.915973,0.915973,0.0,1.0,0.0,0.0
2,1236,0.0,0.956067,93.8327,0.939185,0.417848,6.4199,0.667344,0.500429,0.801572,idt2b,0.801572,0.801572,0.0,0.0,0.5,0.5
2,1236,0.05,0.956067,93.8327,0.939185,0.417848,6.4199,0.667344,0.523211,0.782386,idt2b,0.782386,0.782386,0.0,0.05,0.475,0.475
