run,seed,degraded1,onset1_s,rate1,fail1_s,recover1_s,degraded2,onset2_s,rate2,fail2_s,recover2_s,degraded3,onset3_s,rate3,fail3_s,recover3_s,degraded4,onset4_s,rate4,fail4_s,recover4_s,t,method,active_provider,accuracy,latency_ms,reliability,utility,failover_event
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,0,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,1,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,2,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,3,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,4,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,5,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,6,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,7,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,8,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,9,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,10,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,11,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,12,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,13,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,14,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,15,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,16,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,17,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,18,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,19,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,20,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,21,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,22,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,23,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,24,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,25,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,26,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,27,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,28,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,29,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,30,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,31,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
14,1248,idt2b,16.104,0.23278,27.372,43.387,idt2a,62.948,0.09424,74.003,85.944,idt2b,105.602,0.14347,115.516,131.902,idt2a,151.146,0.16202,157.5,175.986,32,qos_aware,idt2a,0.98,14.0,0.998,0.9605,0
