run,seed,alpha,prov_a_accuracy,prov_a_latency_ms,prov_a_reliability,prov_b_accuracy,prov_b_latency_ms,prov_b_reliability,utility_a,utility_b,selected,selected_utility,best_utility,regret,w_accuracy,w_latency,w_reliability
0,1234,0.0,0.988602,78.3069,0.990011,0.350657,3.255,0.411885,0.603471,0.689667,idt2b,0.689667,0.689667,0.0,0.0,0.5,0.5
0,1234,0.05,0.988602,78.3069,0.990011,0.350657,3.255,0.411885,0.622728,0.672717,idt2b,0.672717,0.672717,0.0,0.05,0.475,0.475
0,1234,0.1,0.988602,78.3069,0.990011,0.350657,3.255,0.411885,0.641984,0.655766,idt2b,0.655766,0.655766,0.0,0.1,0.45,0.45
0,1234,0.15,0.988602,78.3069,0.990011,0.350657,3.255,0.411885,0.661241,0.638816,idt2a,0.661241,0.661241,0.0,0.15,0.425,0.425
0,1234,0.2,0.988602,78.3069,0.990011,0.350657,3.255,0.411885,0.680497,0.621865,idt2a,0.680497,0.680497,0.0,0.2,0.4,0.4
0,1234,0.25,0.988602,78.3069,0.990011,0.350657,3.255,0.411885,0.699754,0.604915,idt2a,0.699754,0.699754,0.0,0.25,0.375,0.375
0,1234,0.3,0.988602,78.3069,0.990011,0.350657,3.255,0.411885,0.71901,0.587964,idt2a,0.71901,0.71901,0.0,0.3,0.35,0.35
0,1234,0.35,0.988602,78.3069,0.990011,0.350657,3.255,0.411885,0.738267,0.571014,idt2a,0.738267,0.738267,0.0,0.35,0.325,0.325
0,1234,0.4,0.988602,78.3069,0.990011,0.350657,3.255,0.411885,0.757524,0.554063,idt2a,0.757524,0.757524,0.0,0.4,0.3,0.3
0,1234,0.45,0.988602,78.3069,0.990011,0.350657,3.255,0.411885,0.77678,0.537113,idt2a,0.77678,0.77678,0.0,0.45,0.275,0.275
0,1234,0.5,0.988602,78.3069,0.990011,0.350657,3.255,0.411885,0.796037,0.520162,idt2a,0.796037,0.796037,0.0,0.5,0.25,0.25
0,1234,0.55,0.988602,78.3069,0.990011,0.350657,3.255,0.411885,0.815293,0.503212,idt2a,0.815293,0.815293,0.0,0.55,0.225,0.225
0,1234,0.6,0.988602,78.3069,0.990011,0.350657,3.255,0.411885,0.83455,0.486261,idt2a,0.83455,0.83455,0.0,0.6,0.2,0.2
0,1234,0.65,0.988602,78.3069,0.990011,0.350657,3.255,0.411885,0.853806,0.469311,idt2a,0.853806,0.853806,0.0,0.65,0.175,0.175
0,1234,0.7,0.988602,78.3069,0.990011,0.350657,3.255,0.411885,0.873063,0.45236,idt2a,0.873063,0.873063,0.0,0.7,0.15,0.15
0,1234,0.75,0.988602,78.3069,0.990011,0.350657,3.255,0.411885,0.892319,0.43541,idt2a,0.892319,0.892319,0.0,0.75,0.125,0.125
0,1234,0.8,0.988602,78.3069,0.990011,0.350657,3.255,0.411885,0.911576,0.418459,idt2a,0.911576,0.911576,0.0,0.8,0.1,0.1
0,1234,0.85,0.988602,78.3069,0.990011,0.350657,3.255,0.411885,0.930832,0.401508,idt2a,0.930832,0.930832,0.0,0.85,0.075,0.075
0,1234,0.9,0.988602,78.3069,0.990011,0.350657,3.255,0.411885,0.950089,0.384558,idt2a,0.950089,0.950089,0.0,0.9,0.05,0.05
0,1234,0.95,0.988602,78.3069,0.990011,0.350657,3.255,0.411885,0.969345,0.367607,idt2a,0.969345,0.969345,0.0,0.95,0.025,0.025
0,1234,1.0,0.988602,78.3069,0.990011,0.350657,3.255,0.411885,0.988602,0.350657,idt2a,0.988602,0.988602,0.0,1.0,0.0,0.0
1,1235,0.0,0.940649,71.4206,0.95782,0.506288,6.0486,0.459168,0.621807,0.699341,idt2b,0.699341,0.699341,0.0,0.0,0.5,0.5
1,1235,0.05,0.940649,71.4206,0.95782,0.506288,6.0486,0.459168,0.637749,0.689689,idt2b,0.689689,0.689689,0.0,0.05,0.475,0.475
1,1235,0.1,0.940649,71.4206,0.95782,0.506288,6.0486,0.459168,0.653691,0.680036,idt2b,0.680036,0.680036,0.0,0.1,0.45,0.45
1,1235,0.15,0.940649,71.4206,0.95782,0.506288,6.0486,0.459168,0.669633,0.670383,idt2b,0.670383,0.670383,0.0,0.15,0.425,0.425
1,1235,0.2,0.940649,71.4206,0.95782,0.506288,6.0486,0.459168,0.685575,0.660731,idt2a,0.685575,0.685575,0.0,0.2,0.4,0.4
1,1235,0.25,0.940649,71.4206,0.95782,0.506288,6.0486,0.459168,0.701518,0.651078,idt2a,0.701518,0.701518,0.0,0.25,0.375,0.375
1,1235,0.3,0.940649,71.4206,0.95782,0.506288,6.0486,0.459168,0.71746,0.641425,idt2a,0.71746,0.71746,0.0,0.3,0.35,0.35
1,1235,0.35,0.940649,71.4206,0.95782,0.506288,6.0486,0.459168,0.733402,0.631773,idt2a,0.733402,0.733402,0.0,0.35,0.325,0.325
1,1235,0.4,0.940649,71.4206,0.95782,0.506288,6.0486,0.459168,0.749344,0.62212,idt2a,0.749344,0.749344,0.0,0.4,0.3,0.3
1,1235,0.45,0.940649,71.4206,0.95782,0.506288,6.0486,0.459168,0.765286,0.612467,idt2a,0.765286,0.765286,0.0,0.45,0.275,0.275
1,1235,0.5,0.940649,71.4206,0.95782,0.506288,6.0486,0.459168,0.781228,0.602815,idt2a,0.781228,0.781228,0.0,0.5,0.25,0.25
1,1235,0.55,0.940649,71.4206,0.95782,0.506288,6.0486,0.459168,0.79717,0.593162,idt2a,0.79717,0.79717,0.0,0.55,0.225,0.225
1,1235,0.6,0.940649,71.4206,0.95782,0.506288,6.0486,0.459168,0.813112,0.583509,idt2a,0.813112,0.813112,0.0,0.6,0.2,0.2
1,1235,0.65,0.940649,71.4206,0.95782,0.506288,6.0486,0.459168,0.829054,0.573857,idt2a,0.829054,0.829054,0.0,0.65,0.175,0.175
1,1235,0.7,0.940649,71.4206,0.95782,0.506288,6.0486,0.459168,0.844996,0.564204,idt2a,0.844996,0.844996,0.0,0.7,0.15,0.15
1,1235,0.75,0.940649,71.4206,0.95782,0.506288,6.0486,0.459168,0.860938,0.554551,idt2a,0.860938,0.860938,0.0,0.75,0.125,0.125
1,1235,0.8,0.940649,71.4206,0.95782,0.506288,6.0486,0.459168,0.87688,0.544899,idt2a,0.87688,0.87688,0.0,0.8,0.1,0.1
1,1235,0.85,0.940649,71.4206,0.95782,0.506288,6.0486,0.459168,0.892823,0.535246,idt2a,0.892823,0.892823,0.0,0.85,0.075,0.075
1,1235,0.9,0.940649,71.4206,0.95782,0.506288,6.0486,0.459168,0.908765,0.525593,idt2a,0.908765,0.908765,0.0,0.9,0.05,0.05
1,1235,0.95,0.940649,71.4206,0.95782,0.506288,6.0486,0.459168,0.924707,0.515941,idt2a,0.924707,0.924707,0.0,0.95,0.025,0.025
1,1235,1.0,0.940649,71.4206,0.95782,0.506288,6.0486,0.459168,0.940649,0.506288,idt2a,0.940649,0.940649,0.0,1.0,0.0,0.0
