run,seed,alpha,prov_a_accuracy,prov_a_latency_ms,prov_a_reliability,prov_b_accuracy,prov_b_latency_ms,prov_b_reliability,utility_a,utility_b,selected,selected_utility,best_utility,regret,w_accuracy,w_latency,w_reliability
0,1234,0.0,0.991845,24.0098,0.980812,0.604677,29.3795,0.637789,0.870357,0.671997,idt2a,0.870357,0.870357,0.0,0.0,0.5,0.5
0,1234,0.05,0.991845,24.0098,0.980812,0.604677,29.3795,0.637789,0.876431,0.668631,idt2a,0.876431,0.876431,0.0,0.05,0.475,0.475
0,1234,0.1,0.991845,24.0098,0.980812,0.604677,29.3795,0.637789,0.882506,0.665265,idt2a,0.882506,0.882506,0.0,0.1,0.45,0.45
0,1234,0.15,0.991845,24.0098,0.980812,0.604677,29.3795,0.637789,0.88858,0.661899,idt2a,0.88858,0.88858,0.0,0.15,0.425,0.425
0,1234,0.2,0.991845,24.0098,0.980812,0.604677,29.3795,0.637789,0.894654,0.658533,idt2a,0.894654,0.894654,0.0,0.2,0.4,0.4
0,1234,0.25,0.991845,24.0098,0.980812,0.604677,29.3795,0.637789,0.900729,0.655167,idt2a,0.900729,0.900729,0.0,0.25,0.375,0.375
0,1234,0.3,0.991845,24.0098,0.980812,0.604677,29.3795,0.637789,0.906803,0.651801,idt2a,0.906803,0.906803,0.0,0.3,0.35,0.35
0,1234,0.35,0.991845,24.0098,0.980812,0.604677,29.3795,0.637789,0.912878,0.648435,idt2a,0.912878,0.912878,0.0,0.35,0.325,0.325
0,1234,0.4,0.991845,24.0098,0.980812,0.604677,29.3795,0.637789,0.918952,0.645069,idt2a,0.918952,0.918952,0.0,0.4,0.3,0.3
0,1234,0.45,0.991845,24.0098,0.980812,0.604677,29.3795,0.637789,0.925026,0.641703,idt2a,0.925026,0.925026,0.0,0.45,0.275,0.275
0,1234,0.5,0.991845,24.0098,0.980812,0.604677,29.3795,0.637789,0.931101,0.638337,idt2a,0.931101,0.931101,0.0,0.5,0.25,0.25
0,1234,0.55,0.991845,24.0098,0.980812,0.604677,29.3795,0.637789,0.937175,0.634971,idt2a,0.937175,0.937175,0.0,0.55,0.225,0.225
0,1234,0.6,0.991845,24.0098,0.980812,0.604677,29.3795,0.637789,0.94325,0.631605,idt2a,0.94325,0.94325,0.0,0.6,0.2,0.2
0,1234,0.65,0.991845,24.0098,0.980812,0.604677,29.3795,0.637789,0.949324,0.628239,idt2a,0.949324,0.949324,0.0,0.65,0.175,0.175
0,1234,0.7,0.991845,24.0098,0.980812,0.604677,29.3795,0.637789,0.955398,0.624873,idt2a,0.955398,0.955398,0.0,0.7,0.15,0.15
0,1234,0.75,0.991845,24.0098,0.980812,0.604677,29.3795,0.637789,0.961473,0.621507,idt2a,0.961473,0.961473,0.0,0.75,0.125,0.125
0,1234,0.8,0.991845,24.0098,0.980812,0.604677,29.3795,0.637789,0.967547,0.618141,idt2a,0.967547,0.967547,0.0,0.8,0.1,0.1
0,1234,0.85,0.991845,24.0098,0.980812,0.604677,29.3795,0.637789,0.973622,0.614775,idt2a,0.973622,0.973622,0.0,0.85,0.075,0.075
0,1234,0.9,0.991845,24.0098,0.980812,0.604677,29.3795,0.637789,0.979696,0.611409,idt2a,0.979696,0.979696,0.0,0.9,0.05,0.05
0,1234,0.95,0.991845,24.0098,0.980812,0.604677,29.3795,0.637789,0.985771,0.608043,idt2a,0.985771,0.985771,0.0,0.95,0.025,0.025
0,1234,1.0,0.991845,24.0098,0.980812,0.604677,29.3795,0.637789,0.991845,0.604677,idt2a,0.991845,0.991845,0.0,1.0,0.0,0.0
1,1235,0.0,0.712118,14.1723,0.857001,0.835242,63.4097,0.693829,0.857639,0.529866,idt2a,0.857639,0.857639,0.0,0.0,0.5,0.5
1,1235,0.05,0.712118,14.1723,0.857001,0.835242,63.4097,0.693829,0.850363,0.545135,idt2a,0.850363,0.850363,0.0,0.05,0.475,0.475
1,1235,0.1,0.712118,14.1723,0.857001,0.835242,63.4097,0.693829,0.843087,0.560404,idt2a,0.843087,0.843087,0.0,0.1,0.45,0.45
1,1235,0.15,0.712118,14.1723,0.857001,0.835242,63.4097,0.693829,0.835811,0.575672,idt2a,0.835811,0.835811,0.0,0.15,0.425,0.425
1,1235,0.2,0.712118,14.1723,0.857001,0.835242,63.4097,0.693829,0.828535,0.590941,idt2a,0.828535,0.828535,0.0,0.2,0.4,0.4
1,1235,0.25,0.712118,14.1723,0.857001,0.835242,63.4097,0.693829,0.821259,0.60621,idt2a,0.821259,0.821259,0.0,0.25,0.375,0.375
1,1235,0.3,0.712118,14.1723,0.857001,0.835242,63.4097,0.693829,0.813983,0.621479,idt2a,0.813983,0.813983,0.0,0.3,0.35,0.35
1,1235,0.35,0.712118,14.1723,0.857001,0.835242,63.4097,0.693829,0.806707,0.636747,idt2a,0.806707,0.806707,0.0,0.35,0.325,0.325
1,1235,0.4,0.712118,14.1723,0.857001,0.835242,63.4097,0.693829,0.799431,0.652016,idt2a,0.799431,0.799431,0.0,0.4,0.3,0.3
1,1235,0.45,0.712118,14.1723,0.857001,0.835242,63.4097,0.693829,0.792155,0.667285,idt2a,0.792155,0.792155,0.0,0.45,0.275,0.275
1,1235,0.5,0.712118,14.1723,0.857001,0.835242,63.4097,0.693829,0.784879,0.682554,idt2a,0.784879,0.784879,0.0,0.5,0.25,0.25
1,1235,0.55,0.712118,14.1723,0.857001,0.835242,63.4097,0.693829,0.777602,0.697823,idt2a,0.777602,0.777602,0.0,0.55,0.225,0.225
1,1235,0.6,0.712118,14.1723,0.857001,0.835242,63.4097,0.693829,0.770326,0.713091,idt2a,0.770326,0.770326,0.0,0.6,0.2,0.2
1,1235,0.65,0.712118,14.1723,0.857001,0.835242,63.4097,0.693829,0.76305,0.72836,idt2a,0.76305,0.76305,0.0,0.65,0.175,0.175
1,1235,0.7,0.712118,14.1723,0.857001,0.835242,63.4097,0.693829,0.755774,0.743629,idt2a,0.755774,0.755774,0.0,0.7,0.15,0.15
1,1235,0.75,0.712118,14.1723,0.857001,0.835242,63.4097,0.693829,0.748498,0.758898,idt2b,0.758898,0.758898,0.0,0.75,0.125,0.125
1,1235,0.8,0.712118,14.1723,0.857001,0.835242,63.4097,0.693829,0.741222,0.774167,idt2b,0.774167,0.774167,0.0,0.8,0.1,0.1
1,1235,0.85,0.712118,14.1723,0.857001,0.835242,63.4097,0.693829,0.733946,0.789435,idt2b,0.789435,0.789435,0.0,0.85,0.075,0.075
1,1235,0.9,0.712118,14.1723,0.857001,0.835242,63.4097,0.693829,0.72667,0.804704,idt2b,0.804704,0.804704,0.0,0.9,0.05,0.05
1,1235,0.95,0.712118,14.1723,0.857001,0.835242,63.4097,0.693829,0.719394,0.819973,idt2b,0.819973,0.819973,0.0,0.95,0.025,0.025
1,1235,1.0,0.712118,14.1723,0.857001,0.835242,63.4097,0.693829,0.712118,0.835242,idt2b,0.835242,0.835242,0.0,1.0,0.0,0.0
2,1236,0.0,0.868037,53.5409,0.818519,0.56308,50.3047,0.796458,0.641555,0.646706,idt2b,0.646706,0.646706,0.0,0.0,0.5,0.5
2,1236,0.05,0.868037,53.5409,0.818519,0.56308,50.3047,0.796458,0.652879,0.642524,idt2a,0.652879,0.652879,0.0,0.05,0.475,0.475
2,1236,0.1,0.868037,53.5409,0.818519,0.56308,50.3047,0.796458,0.664203,0.638343,idt2a,0.664203,0.664203,0.0,0.1,0.45,0.45
2,1236,0.15,0.868037,53.5409,0.818519,0.56308,50.3047,0.796458,0.675527,0.634162,idt2a,0.675527,0.675527,0.0,0.15,0.425,0.425
2,1236,0.2,0.868037,53.5409,0.818519,0.56308,50.3047,0.796458,0.686852,0.629981,idt2a,0.686852,0.686852,0.0,0.2,0.4,0.4
2,1236,0.25,0.868037,53.5409,0.818519,0.56308,50.3047,0.796458,0.698176,0.625799,idt2a,0.698176,0.698176,0.0,0.25,0.375,0.375
2,1236,0.3,0.868037,53.5409,0.818519,0.56308,50.3047,0.796458,0.7095,0.621618,idt2a,0.7095,0.7095,0.0,0.3,0.35,0.35
2,1236,0.35,0.868037,53.5409,0.818519,0.56308,50.3047,0.796458,0.720824,0.617437,idt2a,0.720824,0.720824,0.0,0.35,0.325,0.325
2,1236,0.4,0.868037,53.5409,0.818519,0.56308,50.3047,0.796458,0.732148,0.613255,idt2a,0.732148,0.732148,0.0,0.4,0.3,0.3
2,1236,0.45,0.868037,53.5409,0.818519,0.56308,50.3047,0.796458,0.743472,0.609074,idt2a,0.743472,0.743472,0.0,0.45,0.275,0.275
2,1236,0.5,0.868037,53.5409,0.818519,0.56308,50.3047,0.796458,0.754796,0.604893,idt2a,0.754796,0.754796,0.0,0.5,0.25,0.25
2,1236,0.55,0.868037,53.5409,0.818519,0.56308,50.3047,0.796458,0.76612,0.600712,idt2a,0.76612,0.76612,0.0,0.55,0.225,0.225
2,1236,0.6,0.868037,53.5409,0.818519,0.56308,50.3047,0.796458,0.777444,0.59653,idt2a,0.777444,0.777444,0.0,0.6,0.2,0.2
2,1236,0.65,0.868037,53.5409,0.818519,0.56308,50.3047,0.796458,0.788768,0.592349,idt2a,0.788768,0.788768,0.0,0.65,0.175,0.175
2,1236,0.7,0.868037,53.5409,0.818519,0.56308,50.3047,0.796458,0.800092,0.588168,idt2a,0.800092,0.800092,0.0,0.7,0.15,0.15
2,1236,0.75,0.868037,53.5409,0.818519,0.56308,50.3047,0.796458,0.811417,0.583987,idt2a,0.811417,0.811417,0.0,0.75,0.125,0.125
2,1236,0.8,0.868037,53.5409,0.818519,0.56308,50.3047,0.796458,0.822741,0.579805,idt2a,0.822741,0.822741,0.0,0.8,0.1,0.1
2,1236,0.85,0.868037,53.5409,0.818519,0.56308,50.3047,0.796458,0.834065,0.575624,idt2a,0.834065,0.834065,0.0,0.85,0.075,0.075
2,1236,0.9,0.868037,53.5409,0.818519,0.56308,50.3047,0.796458,0.845389,0.571443,idt2a,0.845389,0.845389,0.0,0.9,0.05,0.05
2,1236,0.95,0.868037,53.5409,0.818519,0.56308,50.3047,0.796458,0.856713,0.567262,idt2a,0.856713,0.856713,0.0,0.95,0.025,0.025
2,1236,1.0,0.868037,53.5409,0.818519,0.56308,50.3047,0.796458,0.868037,0.56308,idt2a,0.868037,0.868037,0.0,1.0,0.0,0.0
3,1237,0.0,0.825142,38.0552,0.808664,0.517192,34.7992,0.776922,0.714056,0.714465,idt2b,0.714465,0.714465,0.0,0.0,0.5,0.5
3,1237,0.05,0.825142,38.0552,0.808664,0.517192,34.7992,0.776922,0.71961,0.704601,idt2a,0.71961,0.71961,0.0,0.05,0.475,0.475
3,1237,0.1,0.825142,38.0552,0.808664,0.517192,34.7992,0.776922,0.725165,0.694738,idt2a,0.725165,0.725165,0.0,0.1,0.45,0.45
3,1237,0.15,0.825142,38.0552,0.808664,0.517192,34.7992,0.776922,0.730719,0.684874,idt2a,0.730719,0.730719,0.0,0.15,0.425,0.425
3,1237,0.2,0.825142,38.0552,0.808664,0.517192,34.7992,0.776922,0.736273,0.67501,idt2a,0.736273,0.736273,0.0,0.2,0.4,0.4
3,1237,0.25,0.825142,38.0552,0.808664,0.517192,34.7992,0.776922,0.741828,0.665147,idt2a,0.741828,0.741828,0.0,0.25,0.375,0.375
